      ID  predict G3
0   1001         1.0
1   1002         1.0
2   1003         1.0
3   1004         1.0
4   1005         1.0
5   1006         1.0
6   1007         1.0
7   1008         1.0
8   1009         1.0
9   1010         1.0
10  1011         1.0
11  1012         1.0
12  1013         1.0
13  1014         1.0
14  1015         1.0
15  1016         1.0
16  1017         0.0
17  1018         1.0
18  1019         0.0
19  1020         1.0
20  1021         1.0
21  1022         1.0
22  1023         1.0
23  1024         1.0
24  1025         1.0
25  1026         1.0
26  1027         1.0
27  1028         1.0
28  1029         1.0
29  1030         0.0
30  1031         1.0
31  1032         0.0
32  1033         1.0
33  1034         1.0
34  1035         1.0
35  1036         1.0
36  1037         1.0
37  1038         1.0
38  1039         1.0
39  1040         1.0
40  1041         0.0
41  1042         1.0
42  1043         1.0
43  1044         1.0
